Year, Title                   , Sleeves, Euro Count, Standard Count, 70*121 Count, 65*130 Count
2021, Core                    , Ryker  , 0         , 23            ,             ,             
2021, The Happy Trails Horror , Premium, 35        , 33            ,             ,             
2021, Carnage at the Carnival , Premium, 38        , 35            ,             ,             
2023, A Knock at the Door     , Premium, 47        , 33            ,             ,             
2023, Madness in the Dark     , Premium, 45        , 41            ,             ,             
2023, Once Upon a Full Moon   , Premium, 35        , 33            ,             ,             
2023, The North Pole Nightmare, Premium, 35        , 42            ,             ,             
2021, Slaughter in the Groves , Premium, 34        , 35            , 2           ,             
2023, Panic at Station 2891   , Premium, 42        , 31            ,             , 6           
2024, Don't Make a Sound      , Ryker  , 39        , 45            ,             ,             
2023, Into the Void           , Ryker  , 37        , 50            ,             ,             
2024, Hell to Pay             , Ryker  , 43        , 34            ,             ,             
2024, The Falconwood Files    , Ryker  , 41        , 38            ,             ,             
2024, The Killer from Tomorrow, Ryker  , 35        , 47            , 2           ,             
2024, The Marrek Murders      , Ryker  , 33        , 35            , 11          ,             
2024, Terror from Destiny     , No     , 20        , 34            ,             ,             
2025, Guest Stars             , No     , 17        , 42            ,             ,             
2023, Box of Props            , Ryker  , 14        ,               , 1           ,             
2025, Series 3 Bonus Features , Ryker  , 0         , 5             ,             ,             
2023, Terror from the Grave   , Ryker  , 0         , 38            ,             ,             